,id,reponses,cluster_1,cluster_2,Diff
48,orientation,Straight,0.822429906542056,0.9448818897637795,0.12245198322172346
47,age3,65 and up,0.4236760124610592,0.5380577427821522,0.11438173032109306
44,q0036,Windows Desktop / Laptop,0.5077881619937694,0.5958005249343832,0.08801236294061376
3,q0025,"Yes, one or more children 18 or older",0.557632398753894,0.6351706036745407,0.07753820492064667
0,q0024,Married,0.6043613707165109,0.6797900262467191,0.07542865553020828
7,q0029,Some college,0.14641744548286603,0.2047244094488189,0.05830696396595286
34,q0034,"$50,000-$74,999",0.14174454828660435,0.18635170603674542,0.04460715775014107
8,q0029,High school or G.E.D.,0.07165109034267912,0.11286089238845144,0.04120980204577232
45,q0036,Android Phone / Tablet,0.1292834890965732,0.16535433070866143,0.036070841612088234
10,q0030,Florida,0.06230529595015576,0.09711286089238845,0.03480756494223269
41,q0035,Mountain,0.08255451713395638,0.11023622047244094,0.027681703338484562
24,q0030,Nevada,0.00778816199376947,0.026246719160104987,0.018458557166335515
37,q0034,"$100,000-$124,999",0.1043613707165109,0.12073490813648294,0.016373537419972037
36,q0034,Prefer not to answer,0.1261682242990654,0.14173228346456693,0.01556405916550152
5,q0028,Black,0.028037383177570093,0.04199475065616798,0.013957367478597885
16,q0030,Oregon,0.02336448598130841,0.03674540682414698,0.01338092084283857
27,q0030,Connecticut,0.006230529595015576,0.01837270341207349,0.012142173817057914
43,q0035,East South Central,0.03271028037383177,0.04461942257217848,0.011909142198346705
15,q0030,Arizona,0.024922118380062305,0.03674540682414698,0.011823288444084677
42,q0035,West North Central,0.07009345794392523,0.08136482939632546,0.01127137145240023
21,q0030,Missouri,0.01557632398753894,0.026246719160104987,0.010670395172566046
35,q0034,"$25,000-$49,999",0.13395638629283488,0.14435695538057744,0.010400569087742562
40,q0035,South Atlantic,0.17601246105919002,0.18635170603674542,0.010339244977555395
33,q0030,Arkansas,0.001557632398753894,0.010498687664041995,0.0089410552652881
1,q0024,Widowed,0.06074766355140187,0.06824146981627296,0.007493806264871096
22,q0030,Utah,0.010903426791277258,0.01837270341207349,0.0074692766207962325
31,q0030,Montana,0.003115264797507788,0.010498687664041995,0.007383422866534206
6,q0029,College graduate,0.3130841121495327,0.32020997375328086,0.007125861603748174
28,q0030,Alabama,0.006230529595015576,0.013123359580052493,0.006892829985036917
9,q0029,Did not complete high school,0.009345794392523364,0.015748031496062992,0.006402237103539628
39,q0034,"$150,000-$174,999",0.040498442367601244,0.04461942257217848,0.004120980204577233
46,race2,White,0.8489096573208723,0.8530183727034121,0.004108715382539763
4,q0028,White,0.8489096573208723,0.8530183727034121,0.004108715382539763
23,q0030,Tennessee,0.009345794392523364,0.013123359580052493,0.0037775651875291295
49,orientation,No answer,0.001557632398753894,0.005249343832020997,0.003691711433267103
2,q0024,No answer,0.001557632398753894,0.005249343832020997,0.003691711433267103
13,q0030,Michigan,0.028037383177570093,0.031496062992125984,0.0034586798145558907
30,q0030,Mississippi,0.004672897196261682,0.007874015748031496,0.003201118551769814
25,q0030,Louisiana,0.00778816199376947,0.010498687664041995,0.002710525670272524
38,q0034,"$10,000-$24,999",0.06074766355140187,0.06299212598425197,0.0022444624328500987
18,q0030,Ohio,0.021806853582554516,0.023622047244094488,0.0018151936615399718
17,q0030,Virginia,0.021806853582554516,0.023622047244094488,0.0018151936615399718
29,q0030,Nebraska,0.006230529595015576,0.007874015748031496,0.0016434861530159198
26,q0030,West Virginia,0.006230529595015576,0.007874015748031496,0.0016434861530159198
12,q0030,Washington,0.040498442367601244,0.04199475065616798,0.0014963082885667348
20,q0030,Maryland,0.017133956386292833,0.01837270341207349,0.0012387470257806572
32,q0030,South Dakota,0.001557632398753894,0.0026246719160104987,0.0010670395172566046
14,q0030,New Jersey,0.028037383177570093,0.028871391076115485,0.0008340078985453921
19,q0030,Minnesota,0.020249221183800622,0.02099737532808399,0.0007481541442833674
11,q0030,Pennsylvania,0.04672897196261682,0.047244094488188976,0.000515122525572155
50,weight,0.8193231632632398,0.9593756946947368,,
