,q0011,In which of the following ways would you say it’s a disadvantage to be a man at your work right now?,cluster_1,cluster_2
0,0,Managers want to hire and promote women,0.10903426791277258,0.07874015748031496
1,1,Greater risk of being accused of sexual harassment,0.2570093457943925,0.2073490813648294
2,2,Greater risk of being accused of being sexist or racist,0.24766355140186916,0.18110236220472442
3,3,None of the above,0.17445482866043613,0.1837270341207349
4,4,Other (please specify),0.0264797507788162,0.023622047244094488
