,q0007_0008,Watch sports of any kind,cluster_1,cluster_2
0,0,Often,0.4127725856697819,0.3910761154855643
1,1,Sometimes,0.29127725856697817,0.2992125984251969
2,2,Rarely,0.2071651090342679,0.14960629921259844
3,3,"Never, and not open to it",0.056074766355140186,0.11548556430446194
4,4,"Never, but open to it",0.03271028037383177,0.04461942257217848
