,q0029,What is the last grade of school you completed?,cluster_1,cluster_2
0,0,Post graduate degree,0.3691588785046729,0.2572178477690289
1,1,College graduate,0.3130841121495327,0.32020997375328086
2,2,Some college,0.14641744548286603,0.2047244094488189
3,3,Associate's degree,0.09034267912772585,0.08923884514435695
4,4,High school or G.E.D.,0.07165109034267912,0.11286089238845144
5,5,Did not complete high school,0.009345794392523364,0.015748031496062992
