,q0022,Have you changed your behavior in romantic relationships in the wake of #MeToo movement?,cluster_1,cluster_2
0,0,No,0.9003115264797508,0.9343832020997376
1,1,Yes,0.09501557632398754,0.049868766404199474
2,2,No answer,0.004672897196261682,0.015748031496062992
