,racethn4,Race,cluster_1,cluster_2
0,0,White,0.8489096573208723,0.8503937007874016
1,1,Other,0.08255451713395638,0.07349081364829396
2,2,Hispanic,0.040498442367601244,0.031496062992125984
3,3,Black,0.028037383177570093,0.04199475065616798
