,education,Level of Education,cluster_1,cluster_2
0,0,Post graduate degree,0.3691588785046729,0.2572178477690289
1,1,College or more,0.3130841121495327,0.32020997375328086
2,2,Some college,0.2367601246105919,0.29396325459317585
3,3,High school or less,0.08099688473520249,0.12598425196850394
