,q0035,Time Zone,cluster_1,cluster_2
0,0,Pacific,0.19470404984423675,0.1942257217847769
1,1,South Atlantic,0.17601246105919002,0.18635170603674542
2,2,Middle Atlantic,0.15109034267912771,0.13123359580052493
3,3,East North Central,0.1277258566978193,0.11286089238845144
4,4,West South Central,0.09501557632398754,0.08398950131233596
5,5,Mountain,0.08255451713395638,0.11023622047244094
6,6,West North Central,0.07009345794392523,0.08136482939632546
7,7,New England,0.059190031152647975,0.04199475065616798
8,8,East South Central,0.03271028037383177,0.04461942257217848
