,q0024,"Are you now married, widowed, divorced, separated, or have you neverbeen married?",cluster_1,cluster_2
0,0,Married,0.6043613707165109,0.6797900262467191
1,1,Never married,0.16978193146417445,0.11548556430446194
2,2,Divorced,0.14797507788161993,0.12073490813648294
3,3,Widowed,0.06074766355140187,0.06824146981627296
4,4,Separated,0.01557632398753894,0.010498687664041995
5,5,No answer,0.001557632398753894,0.005249343832020997
