,age3,Age,cluster_1,cluster_2
0,0,35 - 64,0.5031152647975078,0.4041994750656168
1,1,65 and up,0.4236760124610592,0.5380577427821522
2,2,18 - 34,0.07320872274143302,0.05511811023622047
