,q0002,How important is it to you that others see you as masculine?,cluster_1,cluster_2
0,0,Somewhat important,0.3987538940809969,0.3674540682414698
1,1,Not too important,0.35514018691588783,0.32020997375328086
2,2,Not at all important,0.13551401869158877,0.1784776902887139
3,3,Very important,0.1059190031152648,0.13385826771653545
4,4,No answer,0.004672897196261682,
