,q0036,Device,cluster_1,cluster_2
0,0,Windows Desktop / Laptop,0.5077881619937694,0.5958005249343832
1,1,iOS Phone / Tablet,0.21962616822429906,0.16010498687664043
2,2,Android Phone / Tablet,0.1292834890965732,0.16535433070866143
3,3,MacOS Desktop / Laptop,0.11838006230529595,0.06561679790026247
4,4,Other,0.021806853582554516,0.013123359580052493
