,q0007_0007,"Have sexual relations with men, including anything from kissing to sex",cluster_1,cluster_2
0,0,"Never, and not open to it",0.7834890965732088,0.9501312335958005
1,1,"Never, but open to it",0.07009345794392523,0.028871391076115485
2,2,Often,0.05451713395638629,0.0026246719160104987
3,3,Sometimes,0.0529595015576324,0.007874015748031496
4,4,Rarely,0.03894080996884735,0.010498687664041995
