,orientation,Sexual Orientation,cluster_1,cluster_2
0,0,Straight,0.822429906542056,0.9448818897637795
1,1,Gay/Bisexual,0.15109034267912771,0.03937007874015748
2,2,Other,0.024922118380062305,0.007874015748031496
3,3,No answer,0.001557632398753894,0.005249343832020997
