,q0020,"When you want to be physically intimate with someone, how do you gauge their interest?",cluster_1,cluster_2
0,0,Read their physical body language to see if they are interested,0.48753894080996885,0.38320209973753283
1,1,Ask for a verbal confirmation of consent,0.3099688473520249,0.23097112860892388
2,2,Make a physical move to see how they react,0.278816199376947,0.2545931758530184
3,3,Every situation is different,0.6464174454828661,0.5826771653543307
4,4,It isn?t always clear how to gauge someone?s interest,0.3878504672897196,0.3438320209973753
5,5,Other (please specify),0.0778816199376947,0.09711286089238845
