,q0007_0003,"Express physical affection to male friends, like hugging, rubbing shoulders",cluster_1,cluster_2
0,0,Sometimes,0.4423676012461059,0.07086614173228346
1,1,Rarely,0.29595015576323985,0.28346456692913385
2,2,Often,0.22429906542056074,0.005249343832020997
3,3,"Never, but open to it",0.024922118380062305,0.16010498687664043
4,4,"Never, and not open to it",0.012461059190031152,0.48031496062992124
