,q0001,"In general, how masculine or “manly” do you feel?",cluster_1,cluster_2
0,0,Somewhat masculine,0.5451713395638629,0.48556430446194226
1,1,Very masculine,0.3660436137071651,0.3858267716535433
2,2,Not very masculine,0.07320872274143302,0.09448818897637795
3,3,Not at all masculine,0.012461059190031152,0.01837270341207349
4,4,No answer,0.003115264797507788,0.015748031496062992
