,q0004,Where have you gotten your ideas about what it means to be a good man?,cluster_1,cluster_2
0,0,Father or father figure(s),0.7024922118380063,0.6587926509186351
1,1,Mother or mother figure(s),0.40498442367601245,0.3858267716535433
2,2,Other family members,0.37383177570093457,0.28608923884514437
3,3,Pop culture,0.2071651090342679,0.13648293963254593
4,4,Friends,0.3940809968847352,0.2650918635170604
5,5,Other (please specify),0.22118380062305296,0.2020997375328084
