,q0007_0009,Work out,cluster_1,cluster_2
0,0,Sometimes,0.3302180685358255,0.2545931758530184
1,1,Often,0.3068535825545171,0.16535433070866143
2,2,Rarely,0.2616822429906542,0.31496062992125984
3,3,"Never, but open to it",0.06230529595015576,0.12335958005249344
4,4,"Never, and not open to it",0.03894080996884735,0.14173228346456693
