,q0013,And which of the following is the main reason you did not respond?,cluster_1,cluster_2
0,0,You weren?t sure it was sexual harassment,0.00778816199376947,0.010498687664041995
1,1,You didn?t want to get involved,0.00778816199376947,0.0026246719160104987
2,2,You didn?t think it was your place,0.003115264797507788,0.02099737532808399
3,3,No answer,0.001557632398753894,
