,q0028,Are you:,cluster_1,cluster_2
0,0,White,0.8489096573208723,0.8530183727034121
1,1,Other,0.06074766355140187,0.05774278215223097
2,2,Hispanic,0.040498442367601244,0.031496062992125984
3,3,Black,0.028037383177570093,0.04199475065616798
4,4,Asian,0.021806853582554516,0.015748031496062992
